,EvaluationTime,Gender,RestaurantName,MenuName,Taste,Plating,AmbienceDate,AmbienceFamily,AmbienceAlone,AmbienceAlcohol,AmbienceFriend,Service,Cleanness,Cost
63,2023/11/21 9:58:17 오후 GMT+9,1,꽃뚜껑,삼겹살,3,1,9,9,9,9,4,2,2,3
64,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
65,2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,9,9,9,9,4,2,2,4
66,2023/11/21 8:27:49 오후 GMT+9,2,유비칼국수,칼국수,3,1,9,1,9,3,4,1,1,4
67,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
68,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
69,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
70,2023/11/21 11:24:49 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,0,9,9,9,4,2,2,3
71,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
72,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
73,2023/11/28 11:49:12 오후 GMT+9,1,타이짬뽕,타이짬뽕,2,1,9,9,9,9,4,9,9,9
74,2023/11/21 8:06:34 오후 GMT+9,2,홍대함바그,갈비,3,1,9,9,2,9,4,9,9,3
75,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
76,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
77,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
78,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
79,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
80,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
81,2023/11/22 8:58:41 오전 GMT+9,2,돈우리,차돌된장찌개,1,9,9,9,2,9,4,9,9,4
82,2023/11/22 8:58:41 오전 GMT+9,2,돈우리,차돌된장찌개,1,9,9,9,2,9,4,9,9,4
83,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
84,2023/11/20 8:59:22 오후 GMT+9,1,영대 학식,영대 돈까스,1,9,9,9,2,9,4,9,9,4
85,2023/11/21 7:51:12 오후 GMT+9,2,오김뒷,볶음밥,1,1,9,9,9,3,4,1,1,3
86,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
87,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
88,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
89,2023/11/20 8:59:22 오후 GMT+9,1,영대 학식,영대 돈까스,1,9,9,9,2,9,4,9,9,4
90,2023/11/23 7:13:27 오후 GMT+9,2,동궁찜닭,황금찜닭,2,1,9,1,9,9,4,2,2,3
91,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
92,2023/11/28 11:45:17 오후 GMT+9,1,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
93,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
94,2023/11/22 11:38:29 오전 GMT+9,1,로키맥주,가라야게,1,1,0,9,9,3,4,1,1,3
95,2023/11/22 8:58:41 오전 GMT+9,2,돈우리,차돌된장찌개,1,9,9,9,2,9,4,9,9,4
96,2023/11/23 7:12:28 오후 GMT+9,2,에이바이트키친,항정살 덮밥,4,1,0,9,9,9,4,2,2,4
97,2023/11/21 8:06:34 오후 GMT+9,2,홍대함바그,갈비,3,1,9,9,2,9,4,9,9,3
98,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
99,2023/11/28 11:43:44 오후 GMT+9,1,길가네국밥,돼지국밥,2,9,9,9,2,9,9,9,9,4
100,2023/11/23 7:13:27 오후 GMT+9,2,동궁찜닭,황금찜닭,2,1,9,1,9,9,4,2,2,3
101,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
102,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
103,2023/11/21 11:27:00 오후 GMT+9,2,손시스시,손시스시A,2,1,0,1,2,9,4,1,2,2
104,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
105,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
106,2023/11/21 8:02:45 오후 GMT+9,1,맺음,뭉티기,3,3,0,9,9,3,4,2,3,3
107,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
108,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
109,2023/11/21 11:24:49 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,0,9,9,9,4,2,2,3
110,2023/11/21 11:27:00 오후 GMT+9,2,손시스시,손시스시A,2,1,0,1,2,9,4,1,2,2
111,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
112,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
113,2023/11/28 11:43:47 오후 GMT+9,1,오칠구,김치말이냉국수,1,9,9,9,9,9,4,1,9,4
114,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
115,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
116,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
117,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
118,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
119,2023/11/21 10:26:52 오후 GMT+9,1,카츠디나인,등심돈까스,1,1,0,1,2,9,4,2,2,4
120,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
121,2023/11/21 7:58:11 오후 GMT+9,1,영남동,영남동,1,1,0,9,2,9,4,9,1,3
122,2023/11/23 7:13:27 오후 GMT+9,2,동궁찜닭,황금찜닭,2,1,9,1,9,9,4,2,2,3
123,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
124,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
125,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
126,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
127,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
128,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
129,2023/11/21 9:27:24 오후 GMT+9,2,카츠디나인,안심돈까스,1,1,0,9,9,9,4,1,2,2
130,2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,9,1,2,9,4,2,2,3
131,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
132,2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,9,1,2,9,4,2,2,3
133,2023/11/28 11:43:47 오후 GMT+9,1,오칠구,김치말이냉국수,1,9,9,9,9,9,4,1,9,4
134,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
135,2023/11/28 11:45:17 오후 GMT+9,1,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
136,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
137,2023/11/23 7:12:28 오후 GMT+9,2,에이바이트키친,항정살 덮밥,4,1,0,9,9,9,4,2,2,4
138,2023/11/21 9:27:24 오후 GMT+9,2,카츠디나인,안심돈까스,1,1,0,9,9,9,4,1,2,2
139,2023/11/21 8:29:49 오후 GMT+9,2,찐궁물 김치찌개,김치찌개,2,9,9,9,9,9,9,3,3,4
140,2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,9,1,2,9,4,2,2,3
141,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
142,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
143,2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,9,9,2,9,4,9,9,9
144,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
145,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
146,2023/11/21 8:02:45 오후 GMT+9,1,맺음,뭉티기,3,3,0,9,9,3,4,2,3,3
147,2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,9,9,9,4,1,9,3
148,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
149,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
150,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
151,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
152,2023/11/23 7:12:28 오후 GMT+9,2,에이바이트키친,항정살 덮밥,4,1,0,9,9,9,4,2,2,4
153,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
154,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
155,2023/11/21 8:39:28 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,9,9,9,9,4,1,2,3
156,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
157,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
158,2023/11/21 8:02:45 오후 GMT+9,1,맺음,뭉티기,3,3,0,9,9,3,4,2,3,3
159,2023/11/28 11:43:47 오후 GMT+9,1,오칠구,김치말이냉국수,1,9,9,9,9,9,4,1,9,4
160,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
161,2023/11/21 8:43:16 오후 GMT+9,1,착한찜닭,찜닭,3,1,9,9,9,9,4,3,2,4
162,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
163,2023/11/21 9:17:05 오후 GMT+9,1,카츠디나인,돈까스,1,1,0,9,9,9,4,2,1,3
164,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
165,2023/11/21 7:46:26 오후 GMT+9,2,용용선생,마라전골,1,2,0,9,9,9,4,1,1,3
166,2023/11/21 9:27:24 오후 GMT+9,2,카츠디나인,안심돈까스,1,1,0,9,9,9,4,1,2,2
167,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
168,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
169,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
170,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
171,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
172,2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,9,1,2,9,4,2,2,3
173,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
174,2023/11/21 11:16:27 오후 GMT+9,2,백정육회,육회,1,1,9,9,9,3,9,1,1,2
175,2023/11/21 8:27:30 오후 GMT+9,1,온어데일리,누텔라 아이스크림,4,3,9,1,9,9,9,3,3,4
176,2023/11/22 11:38:29 오전 GMT+9,1,로키맥주,가라야게,1,1,0,9,9,3,4,1,1,3
177,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
178,2023/11/21 8:27:49 오후 GMT+9,2,유비칼국수,칼국수,3,1,9,1,9,3,4,1,1,4
179,2023/11/28 11:43:47 오후 GMT+9,1,오칠구,김치말이냉국수,1,9,9,9,9,9,4,1,9,4
180,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
181,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
182,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
183,2023/11/21 7:44:31 오후 GMT+9,2,해쉬,목살플레이트,1,1,0,1,9,9,4,3,2,1
184,2023/11/21 10:26:59 오후 GMT+9,1,오칠구,김치말이냉국수,4,3,0,1,2,3,4,3,3,4
185,2023/11/21 7:58:11 오후 GMT+9,1,영남동,영남동,1,1,0,9,2,9,4,9,1,3
186,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
187,2023/11/22 9:13:30 오전 GMT+9,2,돈우리,차돌된장찌개,3,9,9,9,9,9,4,9,9,3
188,2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,9,9,9,9,9,4,9,9,3
189,2023/11/21 8:02:45 오후 GMT+9,1,맺음,뭉티기,3,3,0,9,9,3,4,2,3,3
190,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
191,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
192,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
193,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
194,2023/11/21 8:55:14 오후 GMT+9,2,청춘양식당,샐러드파스타,1,3,0,9,9,9,9,3,2,4
195,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
196,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
197,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
198,2023/11/21 8:32:21 오후 GMT+9,1,장군찜닭,제육볶음,1,1,9,9,9,9,4,1,1,3
199,2023/11/28 11:44:30 오후 GMT+9,1,장군찜닭,제육볶음,2,9,9,9,9,9,4,9,9,3
200,2023/11/21 8:28:30 오후 GMT+9,1,몽짬뽕,몽짬뽕,2,1,9,9,2,9,4,1,2,3
201,2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,9,9,4,3,1,1
202,2023/11/21 11:19:43 오후 GMT+9,2,카츠디나인,안심 카츠,1,1,0,9,9,9,4,1,2,4
203,2023/11/21 11:19:21 오후 GMT+9,2,영대 막창,뒷고기,1,1,9,1,9,3,9,9,9,3
